sample_id,class_id,student_id,roll_number
0,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
1,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
2,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
3,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
4,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
5,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
6,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
7,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
8,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
9,0,15d8db0b-71f0-478b-9404-ac5ec812d76a,1
10,1,3160756e-5553-4156-8490-70e8833249aa,2
11,1,3160756e-5553-4156-8490-70e8833249aa,2
12,1,3160756e-5553-4156-8490-70e8833249aa,2
13,1,3160756e-5553-4156-8490-70e8833249aa,2
14,1,3160756e-5553-4156-8490-70e8833249aa,2
15,1,3160756e-5553-4156-8490-70e8833249aa,2
16,1,3160756e-5553-4156-8490-70e8833249aa,2
17,1,3160756e-5553-4156-8490-70e8833249aa,2
18,1,3160756e-5553-4156-8490-70e8833249aa,2
19,1,3160756e-5553-4156-8490-70e8833249aa,2
20,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
21,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
22,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
23,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
24,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
25,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
26,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
27,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
28,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
29,2,e36ac59d-618f-492f-82da-15dde0d1cb1c,3
30,3,381c39c0-1139-4a65-bb9f-b6bdb689b205,4
31,3,381c39c0-1139-4a65-bb9f-b6bdb689b205,4
32,3,381c39c0-1139-4a65-bb9f-b6bdb689b205,4
33,3,381c39c0-1139-4a65-bb9f-b6bdb689b205,4
34,3,381c39c0-1139-4a65-bb9f-b6bdb689b205,4
